Wavelength,GDD,Wavelength2,R
1100.79,-1.861983,,
1100.96,-1.966608,,
1101.13,-2.072056,,
1101.3,-2.178331,,
1101.47,-2.285436,,
1101.64,-2.393375,,
1101.81,-2.502152,,
1101.98,-2.611772,,
1102.15,-2.722238,,
1102.32,-2.833555,,
1102.49,-2.945727,,
1102.66,-3.058758,,
1102.83,-3.172651,,
1103,-3.287413,,
1103.17,-3.403046,,
1103.34,-3.519555,,
1103.51,-3.636945,,
1103.68,-3.75522,,
1103.85,-3.874384,,
1104.02,-3.994443,,
1104.19,-4.1154,,
1104.36,-4.237261,,
1104.53,-4.36003,,
1104.7,-4.483712,,
1104.87,-4.608311,,
1105.04,-4.733833,,
1105.21,-4.860282,,
1105.38,-4.987663,,
1105.55,-5.115982,,
1105.72,-5.245243,,
1105.89,-5.375452,,
1106.06,-5.506613,,
1106.23,-5.638732,,
1106.4,-5.771814,,
1106.57,-5.905865,,
1106.74,-6.040889,,
1106.91,-6.176893,,
1107.08,-6.313881,,
1107.25,-6.45186,,
1107.42,-6.590834,,
1107.59,-6.730809,,
1107.76,-6.871792,,
1107.93,-7.013788,,
1108.1,-7.156802,,
1108.27,-7.300841,,
1108.44,-7.445911,,
1108.61,-7.592017,,
1108.78,-7.739166,,
1108.95,-7.887364,,
1109.12,-8.036617,,
1109.29,-8.186931,,
1109.46,-8.338313,,
1109.63,-8.490768,,
1109.8,-8.644305,,
1109.97,-8.798928,,
1110.14,-8.954644,,
1110.31,-9.111461,,
1110.48,-9.269385,,
1110.65,-9.428423,,
1110.82,-9.588581,,
1110.99,-9.749867,,
1111.16,-9.912288,,
1111.33,-10.07585,,
1111.5,-10.240562,,
1111.67,-10.406429,,
1111.84,-10.57346,,
1112.01,-10.741662,,
1112.18,-10.911042,,
1112.35,-11.081608,,
1112.52,-11.253367,,
1112.69,-11.426327,,
1112.86,-11.600497,,
1113.03,-11.775883,,
1113.2,-11.952494,,
1113.37,-12.130338,,
1113.54,-12.309423,,
1113.71,-12.489757,,
1113.88,-12.671348,,
1114.05,-12.854206,,
1114.22,-13.038337,,
1114.39,-13.223752,,
1114.56,-13.410458,,
1114.73,-13.598464,,
1114.9,-13.787779,,
1115.07,-13.978412,,
1115.24,-14.170372,,
1115.41,-14.363668,,
1115.58,-14.55831,,
1115.75,-14.754306,,
1115.92,-14.951666,,
1116.09,-15.150399,,
1116.26,-15.350516,,
1116.43,-15.552025,,
1116.6,-15.754937,,
1116.77,-15.959261,,
1116.94,-16.165008,,
1117.11,-16.372188,,
1117.28,-16.58081,,
1117.45,-16.790885,,
1117.62,-17.002424,,
1117.79,-17.215438,,
1117.96,-17.429936,,
1118.13,-17.645929,,
1118.3,-17.863429,,
1118.47,-18.082447,,
1118.64,-18.302993,,
1118.81,-18.525079,,
1118.98,-18.748717,,
1119.15,-18.973917,,
1119.32,-19.200691,,
1119.49,-19.429051,,
1119.66,-19.65901,,
1119.83,-19.890578,,
1120,-20.123768,,
1120.17,-20.358592,,
1120.34,-20.595064,,
1120.51,-20.833194,,
1120.68,-21.072996,,
1120.85,-21.314482,,
1121.02,-21.557666,,
1121.19,-21.80256,,
1121.36,-22.049178,,
1121.53,-22.297533,,
1121.7,-22.547639,,
1121.87,-22.799508,,
1122.04,-23.053155,,
1122.21,-23.308595,,
1122.38,-23.56584,,
1122.55,-23.824905,,
1122.72,-24.085805,,
1122.89,-24.348553,,
1123.06,-24.613165,,
1123.23,-24.879656,,
1123.4,-25.14804,,
1123.57,-25.418333,,
1123.74,-25.69055,,
1123.91,-25.964706,,
1124.08,-26.240818,,
1124.25,-26.5189,,
1124.42,-26.79897,,
1124.59,-27.081042,,
1124.76,-27.365135,,
1124.93,-27.651263,,
1125.1,-27.939444,,
1125.27,-28.229695,,
1125.44,-28.522033,,
1125.61,-28.816475,,
1125.78,-29.113039,,
1125.95,-29.411741,,
1126.12,-29.712601,,
1126.29,-30.015636,,
1126.46,-30.320864,,
1126.63,-30.628305,,
1126.8,-30.937975,,
1126.97,-31.249895,,
1127.14,-31.564084,,
1127.31,-31.88056,,
1127.48,-32.199343,,
1127.65,-32.520453,,
1127.82,-32.84391,,
1127.99,-33.169734,,
1128.16,-33.497946,,
1128.33,-33.828565,,
1128.5,-34.161613,,
1128.67,-34.497111,,
1128.84,-34.83508,,
1129.01,-35.175542,,
1129.18,-35.518518,,
1129.35,-35.86403,,
1129.52,-36.212102,,
1129.69,-36.562754,,
1129.86,-36.916011,,
1130.03,-37.25640543,,
1130.2,-37.60321975,,
1130.37,-37.95003407,,
1130.54,-38.29684839,,
1130.71,-38.64366271,,
1130.88,-38.99047704,,
1131.05,-39.33729136,,
1131.22,-39.68410568,,
1131.39,-40.03092,,
1131.56,-40.37773432,,
1131.73,-40.72454864,,
1131.9,-41.07136296,,
1132.07,-41.41817729,,
1132.24,-41.76499161,,
1132.41,-42.11180593,,
1132.58,-42.45862025,,
1132.75,-42.80543457,,
1132.92,-43.15224889,,
1133.09,-43.49906321,,
1133.26,-43.84587754,,
1133.43,-44.19269186,,
1133.6,-44.53950618,,
1133.77,-44.8863205,,
1133.94,-45.23313482,,
1134.11,-45.57994914,,
1134.28,-45.92676346,,
1134.45,-46.27357779,,
1134.62,-46.62039211,,
1134.79,-46.96720643,,
1134.96,-47.31402075,,
1135.13,-47.66083507,,
1135.3,-48.00764939,,
1135.47,-48.35446371,,
1135.64,-48.70127804,,
1135.81,-49.04809236,,
1135.98,-49.39490668,,
1136.15,-49.741721,,
1136.32,-50.08853532,,
1136.49,-50.43534964,,
1136.66,-50.78216396,,
1136.83,-51.12897829,,
1137,-51.47579261,,
1137.17,-51.82260693,,
1137.34,-52.16942125,,
1137.51,-52.51623557,,
1137.68,-52.86304989,,
1137.85,-53.20986421,,
1138.02,-53.55667854,,
1138.19,-53.90349286,,
1138.36,-54.25030718,,
1138.53,-54.5971215,,
1138.7,-54.94393582,,
1138.87,-55.29075014,,
1139.04,-55.63756446,,
1139.21,-55.98437879,,
1139.38,-56.33119311,,
1139.55,-56.67800743,,
1139.72,-57.02482175,,
1139.89,-57.37163607,,
1140.06,-57.71845039,,
